jogo;data_jogo;idade;cod_equipe;cod_equipe_opont;resultado;diff_pts;minutos;2pts;2pts_at;2pts_pct;3pts;3pts_at;3pts_pct;LL;LL_at;LL_pct;Reb_Of;Reb_Def;Reb_Tot;Ast;Stl;Blk;Turnv;Pts;Game_Score
1;29/10/2003;18-303;8;32;L ;(-14);42;12;20;0.6;0;2;0;1;3;0.333;2;4;6;9;4;0;2;25;24.7
2;30/10/2003;18-304;8;30;L ;(-9);41;8;17;0.471;1;5;0.2;4;7;0.571;2;10;12;8;1;0;7;21;14.7
3;01/11/2003;18-306;8;31;L ;(-19);39;3;12;0.25;0;1;0;2;2;1;0;4;4;6;2;0;2;8;5
4;05/11/2003;18-310;8;10;L ;(-4);41;3;11;0.273;0;2;0;1;1;1;2;9;11;7;2;3;2;7;11.2
5;07/11/2003;18-312;8;14;L ;(-1);44;8;18;0.444;1;2;0.5;6;7;0.857;0;5;5;3;0;0;7;23;9
6;08/11/2003;18-313;8;38;W ;(+13);45;8;19;0.421;0;0;;1;4;0.25;5;3;8;9;1;1;2;17;15.7
7;10/11/2003;18-315;8;26;W ;(+14);34;7;12;0.583;3;3;1;0;0;;1;4;5;4;1;1;2;17;15.8
8;12/11/2003;18-317;8;19;L ;(-5);42;6;15;0.4;2;5;0.4;4;6;0.667;1;2;3;7;2;1;4;18;12.8
9;14/11/2003;18-319;8;2;L ;(-9);35;3;12;0.25;2;4;0.5;2;4;0.5;1;4;5;3;0;0;4;10;0.8
10;15/11/2003;18-320;8;29;W ;(+3);47;10;19;0.526;0;1;0;2;4;0.5;0;5;5;8;1;2;5;22;15.6
11;18/11/2003;18-323;8;16;W ;(+8);39;6;16;0.375;0;2;0;2;4;0.5;2;5;7;8;0;1;3;14;9.8
12;19/11/2003;18-324;8;38;L ;(-11);40;10;18;0.556;2;4;0.5;6;8;0.75;2;5;7;8;2;1;4;28;25
13;21/11/2003;18-326;8;21;L ;(-14);36;8;19;0.421;0;2;0;3;3;1;2;7;9;2;1;0;1;19;12.2
14;22/11/2003;18-327;8;1;L ;(-9);42;3;16;0.188;0;1;0;9;10;0.9;2;4;6;4;2;1;3;15;9.3
15;26/11/2003;18-331;8;23;L ;(-10);39;5;17;0.294;1;4;0.25;4;4;1;2;6;8;9;0;0;4;15;10.2
16;28/11/2003;18-333;8;11;L ;(-4);36;2;8;0.25;0;2;0;2;3;0.667;0;2;2;7;0;0;4;6;1.1
17;29/11/2003;18-334;8;18;L ;(-7);55;14;28;0.5;3;6;0.5;2;3;0.667;2;14;16;7;1;1;8;33;22.4
18;02/12/2003;18-337;8;10;L ;(-12);32;6;19;0.316;2;3;0.667;5;7;0.714;3;3;6;5;2;0;2;19;12.2
19;03/12/2003;18-338;8;16;L ;(-10);34;2;13;0.154;0;3;0;0;0;;4;2;6;8;2;0;5;4;0.9
20;06/12/2003;18-341;8;1;W ;(+10);36;4;12;0.333;0;2;0;0;0;;1;5;6;5;2;1;3;8;5.8
21;09/12/2003;18-344;8;35;L ;(-7);37;7;16;0.438;0;0;;4;4;1;0;5;5;3;1;0;2;18;11.4
22;11/12/2003;18-346;8;11;W ;(+9);43;8;21;0.381;1;3;0.333;6;8;0.75;1;2;3;9;1;1;4;23;14.8
23;13/12/2003;18-348;8;2;L ;(-7);45;10;20;0.5;1;5;0.2;16;18;0.889;1;2;3;4;0;0;2;37;27.5
24;15/12/2003;18-350;8;14;L ;(-10);44;10;16;0.625;0;3;0;7;8;0.875;1;3;4;6;3;3;6;27;23.9
25;17/12/2003;18-352;8;13;L ;(-4);36;7;19;0.368;2;4;0.5;1;2;0.5;0;1;1;3;0;0;2;17;5.7
26;19/12/2003;18-354;8;29;W ;(+7);42;14;24;0.583;5;7;0.714;3;3;1;1;3;4;5;4;0;4;36;29.5
27;20/12/2003;18-355;8;6;W ;(+8);42;11;22;0.5;0;5;0;10;12;0.833;1;5;6;10;2;2;4;32;28
28;23/12/2003;18-358;8;23;W ;(+11);39;7;22;0.318;1;6;0.167;7;8;0.875;2;4;6;2;6;1;5;22;14.3
29;25/12/2003;18-360;8;28;L ;(-12);47;13;28;0.464;4;10;0.4;4;5;0.8;1;1;2;6;2;1;8;34;19.1
30;26/12/2003;18-361;8;6;L ;(-7);34;7;24;0.292;1;4;0.25;3;4;0.75;1;2;3;4;1;2;5;18;5.1
31;28/12/2003;18-363;8;31;W ;(+12);39;15;23;0.652;0;2;0;2;2;1;3;7;10;9;3;0;5;32;30
32;30/12/2003;19-000;8;14;L ;(-3);38;9;20;0.45;0;4;0;4;6;0.667;2;8;10;4;0;0;4;22;12.6
33;02/01/2004;19-003;8;22;L ;(-15);37;6;19;0.316;0;4;0;2;4;0.5;1;3;4;9;1;0;3;14;7.4
34;06/01/2004;19-007;8;26;W ;(+11);41;6;17;0.353;0;2;0;2;2;1;0;4;4;10;1;1;4;14;10
35;07/01/2004;19-008;8;35;L ;(-6);38;10;23;0.435;0;3;0;1;2;0.5;0;2;2;5;0;0;2;21;9.4
36;09/01/2004;19-010;8;2;L ;(-25);43;7;19;0.368;0;3;0;5;7;0.714;0;3;3;6;3;0;5;19;10.4
37;12/01/2004;19-013;8;17;L ;(-10);37;6;20;0.3;0;3;0;4;5;0.8;1;4;5;7;1;1;6;16;5.3
38;13/01/2004;19-014;8;34;W ;(+8);44;11;26;0.423;0;1;0;5;6;0.833;4;5;9;9;2;0;4;27;20.6
39;15/01/2004;19-016;8;12;L ;(-17);43;8;21;0.381;2;5;0.4;11;13;0.846;2;4;6;6;3;0;2;29;24.5
40;17/01/2004;19-018;8;36;W ;(+6);45;12;28;0.429;2;4;0.5;3;5;0.6;1;6;7;2;2;1;4;29;15.2
41;26/01/2004;19-027;8;28;W ;(+1);30;7;19;0.368;1;2;0.5;1;2;0.5;0;5;5;3;0;2;3;16;5.5
42;28/01/2004;19-029;8;19;W ;(+1);44;10;25;0.4;0;1;0;7;10;0.7;0;5;5;4;2;1;1;27;17.9
43;30/01/2004;19-031;8;20;L ;(-6);37;7;25;0.28;1;6;0.167;5;8;0.625;2;6;8;3;1;0;5;20;3.4
44;01/02/2004;19-033;8;38;W ;(+4);43;14;27;0.519;1;2;0.5;9;11;0.818;3;3;6;4;0;2;6;38;23.5
45;03/02/2004;19-035;8;11;W ;(+3);38;5;19;0.263;0;1;0;2;2;1;1;3;4;6;2;0;1;12;6.7
46;04/02/2004;19-036;8;17;L ;(-5);43;12;26;0.462;4;4;1;4;5;0.8;0;4;4;4;0;0;0;32;22.2
47;06/02/2004;19-038;8;21;L ;(-11);44;6;18;0.333;1;3;0.333;1;4;0.25;1;8;9;5;0;0;3;14;5.4
48;07/02/2004;19-039;8;38;L ;(-18);34;6;16;0.375;0;0;;2;2;1;0;0;0;6;4;1;3;14;10.3
49;09/02/2004;19-041;8;2;W ;(+8);43;9;25;0.36;1;6;0.167;5;6;0.833;0;6;6;3;2;1;1;24;14.1
50;11/02/2004;19-043;8;22;L ;(-20);29;2;13;0.154;0;1;0;5;5;1;1;1;2;5;1;0;5;9;1.2
51;18/02/2004;19-050;8;9;L ;(-16);34;6;12;0.5;0;0;;4;4;1;2;2;4;9;0;1;5;16;13.2
52;20/02/2004;19-052;8;33;W ;(+2);39;14;23;0.609;0;0;;4;4;1;2;9;11;2;2;1;2;32;27.7
53;22/02/2004;19-054;8;26;W ;(+6);44;7;20;0.35;0;0;;8;12;0.667;1;4;5;3;1;0;1;22;12.4
54;23/02/2004;19-055;8;23;W ;(+4);36;7;16;0.438;1;5;0.2;6;6;1;0;4;4;6;2;5;1;21;21.3
55;25/02/2004;19-057;8;13;L ;(-6);39;5;18;0.278;0;2;0;1;3;0.333;2;5;7;5;2;1;2;11;6.3
56;27/02/2004;19-059;8;28;W ;(+5);49;11;19;0.579;1;1;1;7;8;0.875;1;10;11;3;3;1;5;30;24.8
57;01/03/2004;19-062;8;6;L ;(-11);41;7;17;0.412;0;2;0;4;6;0.667;0;3;3;3;4;1;3;18;12
58;03/03/2004;19-064;8;1;W ;(+32);28;9;17;0.529;1;2;0.5;5;6;0.833;1;6;7;3;1;1;1;24;20.6
59;05/03/2004;19-066;8;23;W ;(+3);37;7;17;0.412;2;2;1;3;4;0.75;2;4;6;4;2;0;4;19;10.9
60;06/03/2004;19-067;8;20;W ;(+9);43;11;24;0.458;0;3;0;2;3;0.667;2;5;7;10;4;1;2;24;22.6
61;08/03/2004;19-069;8;1;W ;(+6);45;11;23;0.478;1;4;0.25;11;13;0.846;2;4;6;7;1;0;2;34;27.6
62;10/03/2004;19-071;8;35;W ;(+14);34;4;13;0.308;0;0;;6;7;0.857;1;2;3;4;1;0;2;14;8.4
63;14/03/2004;19-075;8;14;W ;(+3);44;12;22;0.545;0;2;0;2;4;0.5;0;3;3;4;3;1;4;26;16.8
64;16/03/2004;19-077;8;6;W ;(+24);32;5;16;0.313;2;3;0.667;5;8;0.625;3;2;5;8;0;5;4;17;14
65;19/03/2004;19-080;8;36;L ;(-9);33;4;14;0.286;0;2;0;6;10;0.6;0;0;0;7;2;1;2;14;8.6
66;21/03/2004;19-082;8;11;L ;(-20);36;5;17;0.294;1;4;0.25;4;5;0.8;2;5;7;3;0;2;4;15;5.5
67;23/03/2004;19-084;8;30;L ;(-17);42;8;21;0.381;2;5;0.4;7;9;0.778;1;1;2;6;3;1;5;25;16.6
68;26/03/2004;19-087;8;29;L ;(-15);33;5;13;0.385;1;2;0.5;5;9;0.556;2;1;3;7;0;1;5;16;9.2
69;27/03/2004;19-088;8;22;W ;(+3);43;15;29;0.517;1;2;0.5;10;10;1;2;4;6;13;3;0;2;41;39
70;29/03/2004;19-090;8;33;L ;(-8);32;9;20;0.45;0;1;0;0;0;;0;2;2;4;0;1;2;18;9.7
71;30/03/2004;19-091;8;9;L ;(-17);42;13;22;0.591;0;2;0;2;4;0.5;1;4;5;6;4;0;3;28;23.3
72;02/04/2004;19-094;8;20;L ;(-18);36;9;19;0.474;0;0;;2;2;1;0;7;7;7;5;0;5;20;16.1
73;03/04/2004;19-095;8;12;L ;(-3);46;12;28;0.429;3;5;0.6;7;11;0.636;3;5;8;10;1;1;3;34;26.5
74;06/04/2004;19-098;8;35;L ;(-1);46;5;17;0.294;0;0;;11;14;0.786;1;5;6;4;3;0;3;21;14.1
75;07/04/2004;19-099;8;18;L ;(-18);36;4;11;0.364;0;0;;6;7;0.857;0;3;3;5;3;0;2;14;11.3
76;09/04/2004;19-101;8;19;L ;(-15);42;6;14;0.429;1;1;1;11;15;0.733;1;6;7;8;1;0;8;24;15.3
77;10/04/2004;19-102;8;19;W ;(+11);32;4;11;0.364;0;2;0;2;5;0.4;1;2;3;11;0;0;2;10;8.5
78;12/04/2004;19-104;8;20;W ;(+4);45;9;20;0.45;1;4;0.25;8;11;0.727;1;6;7;9;2;0;1;27;24.8
79;14/04/2004;19-106;8;26;W ;(+10);35;8;17;0.471;0;3;0;1;1;1;0;1;1;5;3;0;5;17;9.7
1;03/11/2004;19-309;8;14;L ;(-5);50;8;19;0.421;2;5;0.4;10;12;0.833;1;4;5;8;1;3;6;28;20.9
2;04/11/2004;19-310;8;19;L ;(-6);43;9;22;0.409;2;3;0.667;1;1;1;3;3;6;8;1;0;1;21;17.8
3;06/11/2004;19-312;8;20;L ;(-14);42;8;20;0.4;0;3;0;15;22;0.682;2;6;8;6;3;0;4;31;23.8
4;09/11/2004;19-315;8;1;W ;(+14);48;8;17;0.471;1;4;0.25;8;12;0.667;1;9;10;4;4;2;3;25;22.5
5;10/11/2004;19-316;8;30;W ;(+5);48;13;24;0.542;1;2;0.5;11;12;0.917;3;7;10;6;3;3;3;38;36.1
6;13/11/2004;19-319;8;38;W ;(+31);38;10;20;0.5;0;3;0;4;5;0.8;1;8;9;4;3;2;4;24;19.9
7;15/11/2004;19-321;8;12;W ;(+11);42;12;22;0.545;3;5;0.6;6;8;0.75;2;10;12;4;2;1;1;33;30.1
8;18/11/2004;19-324;8;4;W ;(+17);30;8;14;0.571;2;3;0.667;1;2;0.5;1;5;6;9;0;0;1;19;18.3
9;20/11/2004;19-326;8;4;W ;(+16);38;11;20;0.55;0;2;0;3;4;0.75;5;3;8;2;3;1;7;25;17.5
10;21/11/2004;19-327;8;26;L ;(-10);40;5;15;0.333;1;3;0.333;2;3;0.667;2;7;9;10;1;1;5;13;10.1
11;24/11/2004;19-330;8;11;W ;(+16);38;15;22;0.682;2;3;0.667;11;12;0.917;3;3;6;5;3;1;3;43;39.2
12;26/11/2004;19-332;8;2;W ;(+2);43;9;13;0.692;0;2;0;2;3;0.667;0;6;6;8;3;1;2;20;22.4
13;27/11/2004;19-333;8;6;W ;(+22);32;11;17;0.647;1;2;0.5;3;4;0.75;1;6;7;7;1;0;2;26;24.5
14;29/11/2004;19-335;8;16;L ;(-12);42;9;19;0.474;0;2;0;4;5;0.8;1;6;7;5;6;1;3;22;20.8
15;01/12/2004;19-337;8;30;L ;(-19);40;6;19;0.316;0;2;0;3;4;0.75;1;2;3;6;2;1;6;15;5.1
16;02/12/2004;19-338;8;10;W ;(+19);41;8;17;0.471;0;0;;1;2;0.5;1;7;8;9;2;1;5;17;13.5
17;04/12/2004;19-340;8;35;W ;(+8);43;10;17;0.588;1;3;0.333;6;7;0.857;0;6;6;10;2;1;3;27;26.4
18;07/12/2004;19-343;8;22;W ;(+6);46;11;22;0.5;0;1;0;5;6;0.833;0;2;2;8;3;0;3;27;20.2
19;08/12/2004;19-344;8;6;L ;(-28);38;5;15;0.333;0;2;0;9;12;0.75;0;2;2;6;1;1;4;19;11
20;11/12/2004;19-347;8;33;L ;(-19);42;10;19;0.526;1;3;0.333;2;2;1;3;3;6;10;4;0;3;23;23.9
21;13/12/2004;19-349;8;18;W ;(+6);46;14;22;0.636;1;3;0.333;2;4;0.5;0;5;5;8;7;0;3;31;30.7
22;15/12/2004;19-351;8;31;W ;(+24);37;10;18;0.556;2;3;0.667;3;3;1;2;9;11;7;3;2;3;25;26.4
23;16/12/2004;19-352;8;11;L ;(-12);45;4;21;0.19;0;2;0;3;5;0.6;1;8;9;7;4;1;3;11;6
24;18/12/2004;19-354;8;2;L ;(-7);40;12;25;0.48;3;5;0.6;4;8;0.5;1;4;5;4;3;1;4;31;18.7
25;21/12/2004;19-357;8;21;W ;(+10);43;10;18;0.556;0;1;0;6;8;0.75;0;6;6;12;1;0;2;26;25
26;22/12/2004;19-358;8;22;L ;(-2);42;7;18;0.389;1;1;1;8;10;0.8;1;8;9;9;1;0;4;23;18
27;26/12/2004;19-362;8;23;W ;(+9);45;7;16;0.438;0;1;0;8;9;0.889;1;8;9;14;4;1;5;22;25
28;28/12/2004;19-364;8;1;W ;(+9);46;13;25;0.52;3;5;0.6;11;14;0.786;1;8;9;7;1;0;1;40;33.7
29;29/12/2004;19-365;8;13;L ;(-11);17;0;5;0;0;1;0;3;5;0.6;0;3;3;5;0;0;0;3;3.1
30;03/01/2005;20-004;8;4;W ;(+11);41;11;19;0.579;0;3;0;4;6;0.667;2;6;8;6;2;0;1;26;23.5
31;05/01/2005;20-006;8;1;W ;(+16);40;7;14;0.5;2;5;0.4;4;6;0.667;1;5;6;9;1;1;2;20;18.8
32;08/01/2005;20-009;8;26;W ;(+25);32;10;14;0.714;0;0;;2;2;1;1;2;3;4;0;2;8;22;12.9
33;11/01/2005;20-012;8;4;W ;(+2);49;11;24;0.458;2;5;0.4;5;7;0.714;1;7;8;9;2;1;8;29;19.2
34;13/01/2005;20-014;8;17;L ;(-4);44;12;26;0.462;1;4;0.25;3;4;0.75;3;10;13;9;1;1;4;28;22.9
