jogo;data_jogo;idade;cod_equipe;cod_equipe_opont;resultado;diff_pts;minutos;2pts;2pts_at;2pts_pct;3pts;3pts_at;3pts_pct;LL;LL_at;LL_pct;Reb_Of;Reb_Def;Reb_Tot;Ast;Stl;Blk;Turnv;Pts;Game_Score
1;26/10/1984;21-252;6;39;W ;(+16);40;5;16;0.313;0;0;;6;7;0.857;1;5;6;7;2;4;5;16;12.5
2;27/10/1984;21-253;6;20;L ;(-2);34;8;13;0.615;0;0;;5;5;1;3;2;5;5;2;1;3;21;19.4
3;29/10/1984;21-255;6;20;W ;(+6);34;13;24;0.542;0;0;;11;13;0.846;2;2;4;5;6;2;3;37;32.9
4;30/10/1984;21-256;6;15;W ;(+5);36;8;21;0.381;0;0;;9;9;1;2;2;4;5;3;1;6;25;14.7
5;01/11/1984;21-258;6;10;L ;(-16);33;7;15;0.467;0;0;;3;4;0.75;3;2;5;5;1;1;2;17;13.2
6;07/11/1984;21-264;6;11;W ;(+4);27;9;19;0.474;0;0;;7;9;0.778;1;3;4;3;3;1;5;25;14.9
7;08/11/1984;21-265;6;26;W ;(+15);33;15;22;0.682;0;0;;3;4;0.75;4;4;8;5;3;2;5;33;29.3
8;10/11/1984;21-267;6;14;W ;(+2);42;9;22;0.409;0;0;;9;12;0.75;2;7;9;4;2;5;3;27;21.2
9;13/11/1984;21-270;6;33;W ;(+3);43;18;27;0.667;1;1;1;8;11;0.727;2;8;10;4;3;2;4;45;37.5
10;15/11/1984;21-272;6;2;L ;(-20);33;12;24;0.5;0;1;0;3;3;1;0;2;2;2;2;1;1;27;17.1
11;17/11/1984;21-274;6;29;L ;(-9);44;4;17;0.235;0;0;;8;8;1;0;5;5;7;5;2;4;16;12.5
12;19/11/1984;21-276;6;14;L ;(-17);39;11;26;0.423;0;3;0;12;16;0.75;2;3;5;2;2;1;3;34;20.8
13;21/11/1984;21-278;6;20;L ;(-10);42;11;22;0.5;0;0;;13;14;0.929;4;9;13;2;2;2;6;35;26.7
14;23/11/1984;21-280;6;34;W ;(+19);30;9;13;0.692;0;0;;5;6;0.833;0;4;4;3;4;1;4;23;19.5
