cod_equipe_opont;Descricao_Equipe;Cod_Jogador
20;20;MJ23
20;20;MJ23
20;20;MJ23
20;20;MJ23
2;2;MJ23
2;2;MJ23
2;2;MJ23
2;2;MJ23
2;2;MJ23
2;2;MJ23
8;8;MJ23
8;8;MJ23
8;8;MJ23
8;8;MJ23
8;8;MJ23
11;11;MJ23
11;11;MJ23
11;11;MJ23
11;11;MJ23
11;11;MJ23
8;8;MJ23
8;8;MJ23
8;8;MJ23
8;8;MJ23
8;8;MJ23
26;26;MJ23
26;26;MJ23
26;26;MJ23
26;26;MJ23
26;26;MJ23
26;26;MJ23
11;11;MJ23
11;11;MJ23
11;11;MJ23
11;11;MJ23
11;11;MJ23
11;11;MJ23
20;20;MJ23
20;20;MJ23
20;20;MJ23
20;20;MJ23
29;29;MJ23
29;29;MJ23
29;29;MJ23
29;29;MJ23
29;29;MJ23
11;11;MJ23
11;11;MJ23
11;11;MJ23
11;11;MJ23
11;11;MJ23
11;11;MJ23
11;11;MJ23
26;26;MJ23
26;26;MJ23
26;26;MJ23
29;29;MJ23
29;29;MJ23
29;29;MJ23
29;29;MJ23
29;29;MJ23
11;11;MJ23
11;11;MJ23
11;11;MJ23
11;11;MJ23
17;17;MJ23
17;17;MJ23
17;17;MJ23
17;17;MJ23
17;17;MJ23
19;19;MJ23
19;19;MJ23
19;19;MJ23
26;26;MJ23
26;26;MJ23
26;26;MJ23
26;26;MJ23
26;26;MJ23
26;26;MJ23
26;26;MJ23
8;8;MJ23
8;8;MJ23
8;8;MJ23
8;8;MJ23
8;8;MJ23
8;8;MJ23
31;31;MJ23
31;31;MJ23
31;31;MJ23
31;31;MJ23
31;31;MJ23
31;31;MJ23
1;1;MJ23
1;1;MJ23
1;1;MJ23
8;8;MJ23
8;8;MJ23
8;8;MJ23
8;8;MJ23
26;26;MJ23
26;26;MJ23
26;26;MJ23
26;26;MJ23
26;26;MJ23
26;26;MJ23
30;30;MJ23
30;30;MJ23
30;30;MJ23
30;30;MJ23
30;30;MJ23
30;30;MJ23
5;5;MJ23
5;5;MJ23
5;5;MJ23
5;5;MJ23
28;28;MJ23
28;28;MJ23
28;28;MJ23
28;28;MJ23
28;28;MJ23
28;28;MJ23
19;19;MJ23
19;19;MJ23
19;19;MJ23
26;26;MJ23
26;26;MJ23
26;26;MJ23
26;26;MJ23
26;26;MJ23
28;28;MJ23
28;28;MJ23
28;28;MJ23
28;28;MJ23
34;34;MJ23
34;34;MJ23
34;34;MJ23
34;34;MJ23
34;34;MJ23
34;34;MJ23
39;39;MJ23
39;39;MJ23
39;39;MJ23
1;1;MJ23
1;1;MJ23
1;1;MJ23
1;1;MJ23
1;1;MJ23
19;19;MJ23
19;19;MJ23
19;19;MJ23
19;19;MJ23
19;19;MJ23
36;36;MJ23
36;36;MJ23
36;36;MJ23
36;36;MJ23
36;36;MJ23
36;36;MJ23
22;22;MJ23
22;22;MJ23
22;22;MJ23
5;5;MJ23
5;5;MJ23
5;5;MJ23
5;5;MJ23
5;5;MJ23
14;14;MJ23
14;14;MJ23
14;14;MJ23
14;14;MJ23
14;14;MJ23
14;14;MJ23
14;14;MJ23
36;36;MJ23
36;36;MJ23
36;36;MJ23
36;36;MJ23
36;36;MJ23
36;36;MJ23
38;38;LJ6
38;38;LJ6
38;38;LJ6
38;38;LJ6
38;38;LJ6
38;38;LJ6
11;11;LJ6
11;11;LJ6
11;11;LJ6
11;11;LJ6
11;11;LJ6
11;11;LJ6
11;11;LJ6
38;38;LJ6
38;38;LJ6
38;38;LJ6
38;38;LJ6
22;22;LJ6
22;22;LJ6
22;22;LJ6
22;22;LJ6
22;22;LJ6
22;22;LJ6
11;11;LJ6
11;11;LJ6
11;11;LJ6
11;11;LJ6
11;11;LJ6
11;11;LJ6
33;33;LJ6
33;33;LJ6
33;33;LJ6
33;33;LJ6
38;38;LJ6
38;38;LJ6
38;38;LJ6
38;38;LJ6
38;38;LJ6
38;38;LJ6
2;2;LJ6
2;2;LJ6
2;2;LJ6
2;2;LJ6
2;2;LJ6
2;2;LJ6
2;2;LJ6
11;11;LJ6
11;11;LJ6
11;11;LJ6
11;11;LJ6
1;1;LJ6
1;1;LJ6
1;1;LJ6
1;1;LJ6
28;28;LJ6
28;28;LJ6
28;28;LJ6
28;28;LJ6
28;28;LJ6
28;28;LJ6
6;6;LJ6
6;6;LJ6
6;6;LJ6
6;6;LJ6
6;6;LJ6
2;2;LJ6
2;2;LJ6
2;2;LJ6
2;2;LJ6
2;2;LJ6
2;2;LJ6
29;29;LJ6
29;29;LJ6
29;29;LJ6
29;29;LJ6
29;29;LJ6
2;2;LJ6
2;2;LJ6
2;2;LJ6
2;2;LJ6
2;2;LJ6
6;6;LJ6
6;6;LJ6
6;6;LJ6
6;6;LJ6
6;6;LJ6
9;9;LJ6
9;9;LJ6
9;9;LJ6
9;9;LJ6
9;9;LJ6
9;9;LJ6
26;26;LJ6
26;26;LJ6
26;26;LJ6
26;26;LJ6
26;26;LJ6
14;14;LJ6
14;14;LJ6
14;14;LJ6
14;14;LJ6
14;14;LJ6
14;14;LJ6
2;2;LJ6
2;2;LJ6
2;2;LJ6
2;2;LJ6
2;2;LJ6
2;2;LJ6
2;2;LJ6
27;27;LJ6
27;27;LJ6
27;27;LJ6
27;27;LJ6
27;27;LJ6
20;20;LJ6
20;20;LJ6
20;20;LJ6
20;20;LJ6
6;6;LJ6
6;6;LJ6
6;6;LJ6
6;6;LJ6
6;6;LJ6
14;14;LJ6
14;14;LJ6
14;14;LJ6
14;14;LJ6
14;14;LJ6
14;14;LJ6
14;14;LJ6
33;33;LJ6
33;33;LJ6
33;33;LJ6
33;33;LJ6
33;33;LJ6
33;33;LJ6
33;33;LJ6
4;4;LJ6
4;4;LJ6
4;4;LJ6
4;4;LJ6
3;3;LJ6
3;3;LJ6
3;3;LJ6
3;3;LJ6
3;3;LJ6
14;14;LJ6
14;14;LJ6
14;14;LJ6
14;14;LJ6
14;14;LJ6
